,0,1,2,3,4
47,SGHNEEDYPATIENTSFUND,NRIC or FIN No.,9 Characters (2 Alphabet 7 Digits),S7812345I / F1234568J,Government Agencies
48,Singapore Food Agency,"Customer reference number, usually UEN, NRIC or FIN",10 characters (Max) (All in CAPS),UEN: 201511111A NRIC/FIN: S1234567A,Government Agencies
49,Singhealth Polyclinics,NRIC No. as per Bank Account Holder NRIC,9 Characters (2 Alphabets 7 Digits),S1234567A,Government Agencies
50,SNEC Outpatient,Patient’s NRIC or FIN No.,9 Characters (2 Alphabet 7 Digits),S1234567A / F1234567J,Government Agencies
51,WOODBRIDGE CHARITY,NRIC or FIN No.,9 Characters (2 Alphabet 7 Digits),S1234567A / F1234567J,Government Agencies
52,AIA*,Insurance Policy No.,"i. 10 Character Policy Format: X999999999 where the first character is an alphabet, followed by 9 numeric.",L123456780,Insurance Companies
53,AIA*,Insurance Policy No.,"For Loan, replace the first alphabet as “R”, followed by 9 numeric.",R123456780,Insurance Companies
54,AIA*,Insurance Policy No.,"For HealthShield policy with Essential Rider, please enter only the HealthShield policy number with prefix “H”.",H123456780,Insurance Companies
55,AIA*,Insurance Policy No.,ii. 9 Numeric Policy Format: 999999999 policy number should be ranged between 000014570 and 000926361,000014995 000335759,Insurance Companies
56,AIA*,Insurance Policy No.,"For Loan, to add alphabet “R” as the first character, followed by 9 numeric.",R000123456,Insurance Companies
57,AXA Life Insurance (Singapore) Pte Ltd*,Policy No. with the billing organisation.,i. 999999 where there are 6 digits,i. 012345,Insurance Companies
58,AXA Life Insurance (Singapore) Pte Ltd*,Policy No. with the billing organisation.,"ii. X99999 where X can be 'H', M' or 'P' followed by 5 digits",ii. H12345,Insurance Companies
59,AXA Life Insurance (Singapore) Pte Ltd*,Policy No. with the billing organisation.,iii. 99999999 where there are 8 digits,iii. 00112233,Insurance Companies
60,AXA Life Insurance (Singapore) Pte Ltd*,Policy No. with the billing organisation.,"iv. 999-9999999 where the first 3 digits can be 501, 601, 701, 800, 801, 811, 821, 831, 841, 851",iv. 501-1234567,Insurance Companies
61,CHINA LIFE INSURANCE (SINGAPORE) PTE. LTD.*,Insurance Policy No.,8 Digits,12345678,Insurance Companies
62,CHINA TAIPING INSURANCE (SINGAPORE) PTE. LTD.,10 digit Policy Number (Numeral) - Only Applicable for Life Insurance Policy,10 Digits,0123456789,Insurance Companies
63,Great Eastern Life*,Insurance Policy No.,8 or 10 Digits (Max),,Insurance Companies
64,Great American Insurance Company*,Policy Number,12 characters Example of policy number: PATRA00000000100 *Remove 1st two characters and last two characters,TRA000000001,Insurance Companies
65,Manulife Singapore,Insurance Policy Number,(i) 10 digit policy format: 14XXXXXXXX (ii) 8 digit policy format: 70XXXXXX,14XXXXXXXX 24XXXXXXXX 10XXXXXX 70XXXXXX 80XXXXXX,Insurance Companies
66,MSIG Insurance (s) Pte Ltd*,Insurance Policy No.,,,Insurance Companies
67,NTUC INCOME INSURANCE CO-OPERATIVE LTD*,Insurance Policy No.,,,Insurance Companies
68,Prudential Assurance*,"Contract no., NOT beginning with '7' or '8'",8 Digits,,Insurance Companies
69,Singlife (Health)*,MINDEF & MHA Group Insurance,0686xxxxxxxx where ‘xxxxxxxx” denotes your 8-digit Client Reference No,068612345678,Insurance Companies
70,Singlife (Health)*,Public Officers Group Insurance,PGxxxxxxxx where ‘xxxxxxxx” denotes your 8-digit Client Reference No. (Letters all in Uppercase),PG12345678,Insurance Companies
71,Singlife (Health)*,Individual Health Policy,8-digit Policy No.,12345678,Insurance Companies
72,Singlife (Life)*,Individual Life Policy,8-alphanumeric Policy No.,12345678 A2345678,Insurance Companies
73,Tokio Marine Life Insurance*,Policy Number,5 to 8 characters,"Life Insurance Policy No (5 to 8 Characters)i. 88888 where there are 5 digits ii. 888888 where there are 6 digits iii. 88888888 where there are 8 digits (inclusive of zeros in front) iv. XX8888 where XX can be IS, IM, ES, EM, TR or RR followed by 4 digitsv. D9999999 starting with D followed by 7 digits",Insurance Companies
74,Ablr,NRIC or FIN No.,9 Characters,S7812345I / F1234567J,Other Agencies
75,Care for The Disabled Limited,NRIC No. with Prefix,9,S1234567A,Other Agencies
76,Certis CISCO SafeBox,Account No as shown in the middle section of the SDB Agreement Form.,Up to 12 Digits,123456789012 / 12345678,Other Agencies
77,CordLife Group Limited,Collection Kit no. for Child DevelopmentAccounts (CDA),"9 Characters (Alphanumeric, without hyphens)","For SG-0-012345,input as SG0012345",Other Agencies
78,CordLife Group Limited,“N” prefix + Collection Kit no. for Non-CDA Accounts,"10 Characters (Alphanumeric, without hyphens)","For SG-0-012345,input as NSG0012345",Other Agencies
79,Credit Culture Pte Ltd,"Customer GIRO reference number, starting with GI.","10 Characters (GI, followed by 4 numeric, followed by 4 alphanumeric)",GI180713A9,Other Agencies
80,Fundbox Pte Ltd,Agreement No. as shown on the top left section of your Agreement Document,2 ALPHABET followed by 9 DIGITS,EK190502559,Other Agencies
81,HitPay Payment Solution Pte Ltd,Please refer to DDA reference displayed on HitPay payment checkout page or included in email sent by HitPay Payment Solutions Pte Ltd,11,RP123456789,Other Agencies
82,Metis Global SG,Trust Plan No.,10,RPRO12345S,Other Agencies
83,NETS - NETS Cheque,NETS Cheque Ref. No.,12 Characters (12 Digits),912345679999,Other Agencies
84,NKF,Individual: NRIC/ FIN or Passport No.,11 Characters (Max),S1234567A/ F1234567A,Other Agencies
85,NTUC Membership,NRIC or FIN No.,9 Characters,S7812345I / F1234567J,Other Agencies
86,PAP Community Foundation (PCF),DDA reference should be elderly client NRIC,9 Characters,S1234567A,Other Agencies
87,TECK WEI CREDIT PL,Vehicle Number,8 Characters (Alphanumerics),SGK1234B / FE1234K,Other Agencies
88,Toyota Financial,Agreement Number,,,Other Agencies
89,UNIQCASH PTE LTD,NRIC or FIN,9 Characters (2 Alphabet 7 digits),S0123456A / G1234567W,Other Agencies
90,ES Power by Environmental Solutions (Asia) Pte Ltd,Account No. as shown on the utilities invoice,7 digits. Account No. starting with “1”,1012345,Telecommunications and Utilities
91,FLO ENERGY SINGAPORE,"Flo Account Number, as shown on the top right section of the Utilities invoice",10 characters (2 characters and 8 Digits),SG01015099,Telecommunications and Utilities
92,Geneco - Seraya Energy,10 characters account number with prefix ‘GC’.,10 characters,GC1234567C,Telecommunications and Utilities
93,Keppel Electric Pte Ltd,"Your Keppel Account No. If you do not have an Account No., refer to your welcome email",10 digits (Account No.) / 11 digits (Email Bill Reference No.),1234567890 / 98765432101,Telecommunications and Utilities
94,M1 Limited,"9 numeric digit ""Account No"" shown on the M1 Limited invoice",9 Numeric Digits,,Telecommunications and Utilities
95,MyRepublic Pte Ltd,Customer Identification No. or NRIC No.,8 Characters (1 alphabet & 7 digits) or 9 characters (2 alphabets & 7 digits),C1000000 / SXXXXXXXZ,Telecommunications and Utilities
96,Pacificlight Energy Pte Ltd,PLE Account No. as shown at the top right section of the Bill,8 Characters (8 numeric),12345678,Telecommunications and Utilities
97,Singapore Telecommunications Ltd,Account No. with billing organisation as shown on statement,8 Digits,,Telecommunications and Utilities
98,SP Services,Utilities Contract Account No. as shown at the top right section of the utilities invoice,10 Characters (9 Digits 1 Alphanumeric),1234567890 / 123456789-,Telecommunications and Utilities
99,StarHub Ltd,Account No. with StarHub Ltd as displayed on your right hand corner of your bill,"Numeric with decimals, ending with a letter.",Eg: 1.12345678A,Telecommunications and Utilities
100,Sembcorp Power Pte Ltd,Account No. with Sembcorp Power Pte Ltd as displayed on statement/invoice,10 Characters (1 Uppercase alphabet & 9 digits),H123456782 / B000000018,Telecommunications and Utilities
101,Sunseap Energy Pte Ltd,Sunseap Account number as shown on top right of your invoice.,Sunseap Account number as shown on top right of your invoice.,23012345,Telecommunications and Utilities
102,Union Power Pte Ltd,MSSL Number,10 Digits / 13 Digits,9308014458 9308014458-013,Telecommunications and Utilities
103,Marine Parade Town Council,Reference No. as show on statement,12 Characters (1 Alphabet 11 Digits),C12345678900,Town Councils
